2-theta,Intensity
6.07000,0.00528
6.08000,0.00527
6.09000,0.00526
6.10000,0.00524
6.11000,0.00523
6.12000,0.00522
6.13000,0.00521
6.14000,0.00519
6.15000,0.00518
6.16000,0.00517
6.17000,0.00515
6.18000,0.00514
6.19000,0.00513
6.20000,0.00512
6.21000,0.00510
6.22000,0.00509
6.23000,0.00508
6.24000,0.00507
6.25000,0.00505
6.26000,0.00504
6.27000,0.00503
6.28000,0.00502
6.29000,0.00501
6.30000,0.00499
6.31000,0.00498
6.32000,0.00497
6.33000,0.00496
6.34000,0.00495
6.35000,0.00494
6.36000,0.00492
6.37000,0.00491
6.38000,0.00490
6.39000,0.00489
6.40000,0.00488
6.41000,0.00487
6.42000,0.00486
6.43000,0.00484
6.44000,0.00483
6.45000,0.00482
6.46000,0.00481
6.47000,0.00480
6.48000,0.00479
6.49000,0.00478
6.50000,0.00477
6.51000,0.00476
6.52000,0.00474
6.53000,0.00473
6.54000,0.00472
6.55000,0.00471
6.56000,0.00470
6.57000,0.00469
6.58000,0.00468
6.59000,0.00467
6.60000,0.00466
6.61000,0.00465
6.62000,0.00464
6.63000,0.00463
6.64000,0.00462
6.65000,0.00461
6.66000,0.00460
6.67000,0.00459
6.68000,0.00458
6.69000,0.00457
6.70000,0.00456
6.71000,0.00455
6.72000,0.00454
6.73000,0.00453
6.74000,0.00452
6.75000,0.00451
6.76000,0.00450
6.77000,0.00449
6.78000,0.00448
6.79000,0.00447
6.80000,0.00446
6.81000,0.00445
6.82000,0.00444
6.83000,0.00443
6.84000,0.00442
6.85000,0.00441
6.86000,0.00440
6.87000,0.00440
6.88000,0.00439
6.89000,0.00438
6.90000,0.00437
6.91000,0.00436
6.92000,0.00435
6.93000,0.00434
6.94000,0.00433
6.95000,0.00432
6.96000,0.00431
6.97000,0.00431
6.98000,0.00430
6.99000,0.00429
7.00000,0.00428
7.01000,0.00427
7.02000,0.00426
7.03000,0.00425
7.04000,0.00424
7.05000,0.00424
7.06000,0.00423
7.07000,0.00422
7.08000,0.00421
7.09000,0.00420
7.10000,0.00419
7.11000,0.00419
7.12000,0.00418
7.13000,0.00417
7.14000,0.00416
7.15000,0.00415
7.16000,0.00414
7.17000,0.00414
7.18000,0.00413
7.19000,0.00412
7.20000,0.00411
7.21000,0.00410
7.22000,0.00410
7.23000,0.00409
7.24000,0.00408
7.25000,0.00407
7.26000,0.00406
7.27000,0.00406
7.28000,0.00405
7.29000,0.00404
7.30000,0.00403
7.31000,0.00403
7.32000,0.00402
7.33000,0.00401
7.34000,0.00400
7.35000,0.00399
7.36000,0.00399
7.37000,0.00398
7.38000,0.00397
7.39000,0.00397
7.40000,0.00396
7.41000,0.00395
7.42000,0.00394
7.43000,0.00394
7.44000,0.00393
7.45000,0.00392
7.46000,0.00391
7.47000,0.00391
7.48000,0.00390
7.49000,0.00389
7.50000,0.00389
7.51000,0.00388
7.52000,0.00387
7.53000,0.00386
7.54000,0.00386
7.55000,0.00385
7.56000,0.00384
7.57000,0.00384
7.58000,0.00383
7.59000,0.00382
7.60000,0.00382
7.61000,0.00381
7.62000,0.00380
7.63000,0.00380
7.64000,0.00379
7.65000,0.00378
7.66000,0.00378
7.67000,0.00377
7.68000,0.00376
7.69000,0.00376
7.70000,0.00375
7.71000,0.00374
7.72000,0.00374
7.73000,0.00373
7.74000,0.00372
7.75000,0.00372
